ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
92,2/4/2007 7:05,YATAGAN (MUGLA),37.2897,28.1898,2.8,7.5,01:54.1
93,3/9/2007 18:03,YATAGAN (MUGLA),37.243,28.175,2.7,5,01:54.1
94,3/19/2007 18:05,YATAGAN (MUGLA),37.228,28.1748,2.9,5.9,01:54.1
95,4/10/2007 18:17,YATAGAN (MUGLA),37.237,28.2043,2.8,5.3,01:54.2
96,5/29/2007 4:38,YATAGAN (MUGLA),37.2822,28.1553,3.3,5,01:54.3
97,5/29/2007 18:03,YATAGAN (MUGLA),37.2747,28.2133,2.7,5,01:54.3
98,5/29/2007 18:07,YATAGAN (MUGLA),37.3472,28.2283,2.8,4.4,01:54.3
99,6/2/2007 18:07,YATAGAN (MUGLA),37.2568,28.1893,2.9,5,01:54.4
100,6/5/2007 12:08,YATAGAN (MUGLA),37.2203,28.156,2.9,8,01:54.4
101,7/12/2007 12:30,TURGUT-YATAGAN (MUGLA),37.3113,28.0382,2.8,5,01:54.4
102,7/27/2007 18:07,YATAGAN (MUGLA),37.287,28.2375,2.7,3,01:54.4
103,8/23/2007 12:16,YATAGAN (MUGLA),37.317,28.2558,2.6,5.4,01:54.5
104,8/29/2007 12:03,TURGUT-YATAGAN (MUGLA),37.3688,28.0657,2.6,9.7,01:54.5
105,8/30/2007 9:08,YATAGAN (MUGLA),37.3085,28.2423,2.7,6,01:54.5
106,9/1/2007 18:04,YATAGAN (MUGLA),37.2658,28.2102,2.7,5,01:54.6
107,10/28/2007 18:07,YATAGAN (MUGLA),37.2702,28.2358,2.7,5,01:54.6
108,11/9/2007 17:03,YATAGAN (MUGLA),37.2792,28.2188,2.8,5,01:54.7
109,11/23/2007 16:56,YATAGAN (MUGLA),37.3868,28.1855,2.7,4.3,01:54.7
110,12/16/2007 14:02,YATAGAN (MUGLA),37.2585,28.1907,2.7,5,01:54.8
111,12/24/2007 16:20,YATAGAN (MUGLA),37.2675,28.1995,2.7,5,01:54.8
112,12/26/2007 17:36,YATAGAN (MUGLA),37.2405,28.1987,2.7,10.5,01:54.8
113,1/31/2008 12:06,YATAGAN (MUGLA),37.2668,28.2242,2.8,6.7,01:54.9
114,2/1/2008 12:49,YATAGAN (MUGLA),37.3065,28.2255,2.8,5,01:54.9
115,2/3/2008 17:59,YATAGAN (MUGLA),37.2408,28.1872,3,5.8,01:54.9
116,2/9/2008 10:40,YATAGAN (MUGLA),37.2452,28.204,2.8,5,01:54.9
117,2/11/2008 12:37,YATAGAN (MUGLA),37.1983,28.0792,2.8,5,01:54.9
118,2/14/2008 17:59,YATAGAN (MUGLA),37.2683,28.2353,3,5,01:54.9
119,2/23/2008 17:57,YATAGAN (MUGLA),37.3582,28.2458,3,5,01:54.9
120,2/28/2008 18:01,YATAGAN (MUGLA),37.2983,28.2442,2.8,2.6,01:54.9
121,3/9/2008 18:00,YATAGAN (MUGLA),37.2978,28.2448,2.6,20.9,01:55.0
122,3/13/2008 17:59,YATAGAN (MUGLA),37.3512,28.2588,2.8,6,01:55.0
123,3/16/2008 11:57,YATAGAN (MUGLA),37.2797,28.1955,2.8,11.5,01:55.0
124,3/26/2008 10:44,TURGUT-YATAGAN (MUGLA),37.4308,28.029,2.9,5.3,01:55.0
125,4/2/2008 17:52,YATAGAN (MUGLA),37.2918,28.1953,2.8,5,01:55.1
126,4/9/2008 11:25,TURGUT-YATAGAN (MUGLA),37.3267,28.0217,2.8,10.3,01:55.1
127,5/1/2008 12:00,TURGUT-YATAGAN (MUGLA),37.332,28.013,2.6,9.7,01:55.2
128,5/7/2008 18:02,YATAGAN (MUGLA),37.231,28.1488,2.8,5.4,01:55.2
129,5/8/2008 12:25,YATAGAN (MUGLA),37.3033,28.2158,2.7,5,01:55.2
130,5/9/2008 0:30,YATAGAN (MUGLA),37.3107,28.1093,3.1,22,01:55.2
131,5/24/2008 12:32,TURGUT-YATAGAN (MUGLA),37.2508,28.014,2.6,22.6,01:55.2
132,5/25/2008 18:05,YATAGAN (MUGLA),37.244,28.2022,2.5,8.2,01:55.2
133,5/27/2008 11:58,YATAGAN (MUGLA),37.299,28.1327,2.6,5,01:55.2
134,5/28/2008 12:01,YATAGAN (MUGLA),37.3067,28.2223,2.9,5,01:55.2
135,5/30/2008 12:22,TURGUT-YATAGAN (MUGLA),37.4253,28.0348,2.5,14,01:55.2
136,6/1/2008 17:59,YATAGAN (MUGLA),37.3332,28.2295,2.6,5,01:55.2
137,6/7/2008 18:01,YATAGAN (MUGLA),37.2507,28.1845,2.9,5,01:55.2
138,6/11/2008 10:19,YATAGAN (MUGLA),37.2928,28.2442,2.6,4.2,01:55.2
139,6/12/2008 12:27,TURGUT-YATAGAN (MUGLA),37.3623,28.0565,2.7,8,01:55.2
140,6/12/2008 12:31,TURGUT-YATAGAN (MUGLA),37.3795,28.0375,2.7,5,01:55.2
141,6/12/2008 12:35,TURGUT-YATAGAN (MUGLA),37.3392,28.0263,2.7,10.3,01:55.2
142,6/12/2008 12:37,TURGUT-YATAGAN (MUGLA),37.3872,28.0678,2.6,14.1,01:55.2
143,6/15/2008 11:59,YATAGAN (MUGLA),37.2313,28.1818,2.7,5.1,01:55.2
144,6/16/2008 12:01,YATAGAN (MUGLA),37.2632,28.1955,2.7,7.1,01:55.2
145,6/28/2008 12:03,YATAGAN (MUGLA),37.254,28.2093,2.6,5,01:55.2
146,7/28/2008 11:59,YATAGAN (MUGLA),37.2672,28.2133,2.5,11,01:55.3
147,8/12/2008 12:01,YATAGAN (MUGLA),37.2707,28.2313,2.5,9.7,01:55.4
148,8/15/2008 12:20,YATAGAN (MUGLA),37.2765,28.1455,2.7,6.1,01:55.4
149,10/19/2008 18:02,YATAGAN (MUGLA),37.2585,28.1407,2.7,7.6,01:55.5
150,10/22/2008 16:31,YATAGAN (MUGLA),37.2293,28.111,2.7,7.5,01:55.5
151,10/22/2008 18:02,YATAGAN (MUGLA),37.2208,28.1365,2.7,5,01:55.5
152,10/27/2008 12:02,YATAGAN (MUGLA),37.2432,28.1765,2.6,2.5,01:55.5
153,10/31/2008 12:31,YATAGAN (MUGLA),37.253,28.171,2.6,4.7,01:55.5
154,11/2/2008 16:25,YATAGAN (MUGLA),37.2907,28.2123,2.6,7.5,01:55.6
155,11/4/2008 3:50,YATAGAN (MUGLA),37.2183,28.0238,2.7,9.4,01:55.6
156,11/4/2008 15:44,YATAGAN (MUGLA),37.2397,28.155,2.6,11,01:55.6
157,11/10/2008 12:02,YATAGAN (MUGLA),37.2328,28.099,2.6,3.8,01:55.6
158,11/11/2008 16:24,YATAGAN (MUGLA),37.3017,28.2277,2.6,8.5,01:55.6
159,11/15/2008 17:18,YATAGAN (MUGLA),37.2358,28.1583,2.7,5,01:55.6
160,11/16/2008 12:00,YATAGAN (MUGLA),37.2272,28.1837,2.6,9.5,01:55.6
