ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
221,1/2/2013 23:57,ORHANIYE-MARMARIS (MUGLA)                         ,36.7702,28.1352,2.2,57.5,02:02.0
222,1/5/2013 9:46,SOGUTKOY-MARMARIS (MUGLA)                         ,36.6598,28.1235,2,25.2,02:02.0
223,1/11/2013 18:20,TASLICA-MARMARIS (MUGLA)                          ,36.6085,28.0143,2.2,9.6,02:02.0
224,1/22/2013 18:24,BOZBURUN-MARMARIS (MUGLA)                         ,36.6397,28.005,2.1,10.8,02:02.0
225,1/29/2013 12:54,BOZBURUN-MARMARIS (MUGLA)                         ,36.6813,28.0138,1.7,5.6,02:02.0
226,1/30/2013 4:49,MARMARIS ACIKLARI-MUGLA (AKDENIZ)                 ,36.761,28.488,2.2,40,02:02.0
227,2/1/2013 0:29,CAMLI-MARMARIS (MUGLA)                            ,36.9885,28.25,2.7,2.9,02:02.2
228,2/14/2013 1:37,CETIBELI-MARMARIS (MUGLA)                         ,37.0008,28.3107,2.2,5.4,02:02.2
229,2/15/2013 13:26,TASLICA-MARMARIS (MUGLA)                          ,36.6043,28.0975,2.2,12.6,02:02.2
230,2/18/2013 4:06,KARACA-MARMARIS (MUGLA)                           ,36.9607,28.1697,2,16.6,02:02.2
231,2/21/2013 12:35,ADAKOY-MARMARIS (MUGLA)                           ,36.8268,28.3903,1.8,14.7,02:02.2
232,3/5/2013 21:54,CETIBELI-MARMARIS (MUGLA)                         ,37.0388,28.2797,2.2,6,02:02.4
233,3/6/2013 11:14,KARACA-MARMARIS (MUGLA)                           ,36.9102,28.2073,1.8,16.1,02:02.4
234,3/7/2013 6:18,CAMLI-MARMARIS (MUGLA)                            ,36.9267,28.3187,2,11.9,02:02.4
235,3/9/2013 20:07,CETIBELI-MARMARIS (MUGLA)                         ,37.0263,28.2913,1.7,7.2,02:02.4
236,3/9/2013 20:16,CETIBELI-MARMARIS (MUGLA)                         ,37.0278,28.2773,1.6,9,02:02.4
237,3/17/2013 10:20,BOZBURUN-MARMARIS (MUGLA)                         ,36.693,27.9962,2.1,28.5,02:02.4
238,3/18/2013 20:17,CAMLI-MARMARIS (MUGLA)                            ,36.9963,28.263,2.1,4,02:02.4
239,3/25/2013 13:32,ORHANIYE-MARMARIS (MUGLA)                         ,36.7567,28.1032,2.3,75.5,02:02.4
240,3/28/2013 21:39,HISARONU-MARMARIS (MUGLA)                         ,36.8207,28.1775,1.9,59.4,02:02.4
241,4/4/2013 2:24,TASLICA-MARMARIS (MUGLA)                          ,36.637,28.0998,2.2,12.2,02:02.5
242,4/4/2013 4:04,CAMLI-MARMARIS (MUGLA)                            ,36.965,28.2445,2.2,5.4,02:02.5
243,4/4/2013 7:16,ADAKOY-MARMARIS (MUGLA)                           ,36.7848,28.28,2.2,59.9,02:02.5
244,4/7/2013 7:28,BELDIBI-MARMARIS (MUGLA)                          ,36.9242,28.3155,1.6,10.1,02:02.5
245,4/28/2013 15:58,ICMELER-MARMARIS (MUGLA)                          ,36.8167,28.2743,2,59.5,02:02.5
246,4/29/2013 6:41,KARACA-MARMARIS (MUGLA)                           ,36.9307,28.1613,1.4,17.5,02:02.5
247,5/14/2013 21:24,CETIBELI-MARMARIS (MUGLA)                         ,36.9697,28.333,2.2,5,02:02.8
248,5/16/2013 7:34,BELDIBI-MARMARIS (MUGLA)                          ,36.9385,28.3937,2,5,02:02.8
