ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
360,12/18/2013 18:06,KARACAM-KOYCEGIZ (MUGLA)                          İlksel,37.0738,28.986,1.9,19,02:04.1
361,12/23/2013 4:24,OTMANLAR-KOYCEGIZ (MUGLA)                         İlksel,37.0453,28.9458,1.7,16.1,02:04.1
362,1/2/2014 6:43,DOGUSBELEN-KOYCEGIZ (MUGLA) [North West 1.5 km]   İlksel,36.9892,28.588,1.9,13.9,02:04.3
363,1/2/2014 12:24,DOGUSBELEN-KOYCEGIZ (MUGLA) [North West 5.0 km]   İlksel,37.0183,28.5733,2,2.4,02:04.3
364,1/5/2014 6:40,BALCILAR-KOYCEGIZ (MUGLA) [North 1.5 km]          İlksel,37.0882,28.5813,2.4,9,02:04.3
365,1/30/2014 14:11,YAYLA-KOYCEGIZ (MUGLA) [ 5.24 km]                 İlksel,36.9897,28.7775,2,1.1,02:04.3
366,2/5/2014 0:42,BALCILAR-KOYCEGIZ (MUGLA) [South West 2.8 km]     İlksel,37.0537,28.5635,1.8,12.6,02:04.5
367,2/26/2014 4:47,BALCILAR-KOYCEGIZ (MUGLA) [South East 3.8 km]     İlksel,37.0422,28.5923,2,7.2,02:04.5
368,2/27/2014 3:18,KAVAKARASI-KOYCEGIZ (MUGLA) [East 1.7 km]         İlksel,36.9022,28.7468,2.4,4.8,02:04.5
369,2/27/2014 11:18,KAVAKARASI-KOYCEGIZ (MUGLA) [North 1.3 km]        İlksel,36.9123,28.7263,1.9,6.4,02:04.5
370,2/28/2014 9:47,BEYOBASI-KOYCEGIZ (MUGLA) [ 1.21 km]              İlksel,36.9088,28.757,2.9,4.2,02:04.5
371,3/1/2014 1:44,KAVAKARASI-KOYCEGIZ (MUGLA) [North East 1.5 km]   İlksel,36.908,28.7418,1.8,4,02:04.7
372,3/3/2014 6:02,BALCILAR-KOYCEGIZ (MUGLA) [North East 3.0 km]     İlksel,37.0827,28.6135,1.8,10,02:04.7
373,3/5/2014 20:59,TOPARLAR-KOYCEGIZ (MUGLA) [ 2.65 km]              İlksel,37.0102,28.6602,2.3,5,02:04.7
374,3/6/2014 11:03,BEYOBASI-KOYCEGIZ (MUGLA) [North East 2.3 km]     İlksel,36.9273,28.7825,2,1.6,02:04.7
375,3/7/2014 6:23,BALCILAR-KOYCEGIZ (MUGLA) [South West 2.3 km]     İlksel,37.0627,28.5595,1.5,13.2,02:04.7
376,3/9/2014 5:57,KAVAKARASI-KOYCEGIZ (MUGLA) [East 1.8 km]         İlksel,36.9002,28.7478,1.3,11.8,02:04.7
377,3/12/2014 0:56,KAVAKARASI-KOYCEGIZ (MUGLA) [South East 2.3 km]   İlksel,36.8867,28.7473,2.3,8.9,02:04.7
378,3/12/2014 0:59,MERKEZ-KOYCEGIZ (MUGLA) [South West 1.8 km]       İlksel,36.923,28.6908,2,5,02:04.7
379,3/12/2014 1:42,BEYOBASI-KOYCEGIZ (MUGLA) [South East 1.4 km]     İlksel,36.898,28.7792,3.1,1.6,02:04.7
380,3/12/2014 2:06,BEYOBASI-KOYCEGIZ (MUGLA) [South West 1.7 km]     İlksel,36.8978,28.7583,1.9,1.8,02:04.7
381,3/12/2014 3:31,BEYOBASI-KOYCEGIZ (MUGLA) [North 2.1 km]          İlksel,36.9277,28.7698,2.8,5.5,02:04.7
382,3/12/2014 21:05,KAVAKARASI-KOYCEGIZ (MUGLA) [South East 2.5 km]   İlksel,36.8893,28.7528,2.7,6.5,02:04.7
383,3/17/2014 14:38,BEYOBASI-KOYCEGIZ (MUGLA) [South East 1.5 km]     İlksel,36.9052,28.787,2.8,2.6,02:04.7
384,3/21/2014 6:50,BALCILAR-KOYCEGIZ (MUGLA) [South East 4.6 km]     İlksel,37.0475,28.62,1.7,17.6,02:04.7
385,3/24/2014 0:50,BEYOBASI-KOYCEGIZ (MUGLA) [South East 1.7 km]     İlksel,36.8958,28.7805,1.6,1.7,02:04.7
386,3/24/2014 4:32,OTMANLAR-KOYCEGIZ (MUGLA) [North East 5.7 km]     İlksel,37.094,28.9348,1.8,7.9,02:04.7
387,3/26/2014 9:12,MERKEZ-KOYCEGIZ (MUGLA) [East 2.9 km]             İlksel,36.9263,28.7438,2.5,5.5,02:04.7
388,3/26/2014 22:44,BEYOBASI-KOYCEGIZ (MUGLA) [South West 0.7 km]     İlksel,36.9037,28.7668,2.4,6.7,02:04.7
389,3/28/2014 21:37,CAYHISAR-KOYCEGIZ (MUGLA) [South East 1.7 km]     İlksel,36.9688,28.8633,2.1,4.6,02:04.7
390,4/4/2014 22:52,OTMANLAR-KOYCEGIZ (MUGLA) [North East 1.4 km]     İlksel,37.0533,28.9313,1.8,5.1,02:05.0
391,4/14/2014 20:09,OTMANLAR-KOYCEGIZ (MUGLA) [South West 4.5 km]     İlksel,37.024,28.877,2.2,12.2,02:05.0
392,4/14/2014 20:33,SAZAK-KOYCEGIZ (MUGLA) [North West 0.9 km]        İlksel,36.9872,28.879,1.8,20.1,02:05.0
393,4/15/2014 0:03,OTMANLAR-KOYCEGIZ (MUGLA) [South West 3.4 km]     İlksel,37.0363,28.8843,2.5,8.7,02:05.0
394,4/18/2014 6:18,OTMANLAR-KOYCEGIZ (MUGLA) [North West 3.8 km]     İlksel,37.0643,28.8882,2.6,9.7,02:05.0
395,4/18/2014 6:19,OTMANLAR-KOYCEGIZ (MUGLA) [ 6.56 km]              İlksel,37.076,28.8603,2.6,9.5,02:05.0
396,4/18/2014 6:49,OTMANLAR-KOYCEGIZ (MUGLA) [ 3.41 km]              İlksel,37.0567,28.8873,2.6,9.6,02:05.0
397,4/18/2014 6:53,OTMANLAR-KOYCEGIZ (MUGLA) [ 4.1 km]               İlksel,37.0592,28.8802,2.3,8.6,02:05.0
398,4/18/2014 6:55,OTMANLAR-KOYCEGIZ (MUGLA) [ 2.11 km]              İlksel,37.0257,28.9138,2.1,13.4,02:05.0
399,4/18/2014 7:44,OTMANLAR-KOYCEGIZ (MUGLA) [ 2.98 km]              İlksel,37.041,28.8887,2.4,8.8,02:05.0
400,4/18/2014 8:15,OTMANLAR-KOYCEGIZ (MUGLA) [ 3.79 km]              İlksel,37.056,28.8823,3.2,6.3,02:05.0
401,4/18/2014 8:19,CAYHISAR-KOYCEGIZ (MUGLA) [ 3.98 km]              İlksel,37.0128,28.8318,2.3,16.2,02:05.0
402,4/18/2014 9:09,OTMANLAR-KOYCEGIZ (MUGLA) [ 4.35 km]              İlksel,37.0677,28.8835,2.6,8.1,02:05.0
403,4/18/2014 9:21,OTMANLAR-KOYCEGIZ (MUGLA) [ 2.64 km]              İlksel,37.0417,28.8923,3.4,5,02:05.0
404,4/18/2014 9:23,OTMANLAR-KOYCEGIZ (MUGLA) [ 3.72 km]              İlksel,37.077,28.923,2.5,4.4,02:05.0
405,4/18/2014 9:29,OTMANLAR-KOYCEGIZ (MUGLA) [ 3.76 km]              İlksel,37.0772,28.9262,2.3,8.4,02:05.0
406,4/18/2014 10:11,OTMANLAR-KOYCEGIZ (MUGLA) [North West 3.7 km]     İlksel,37.0745,28.9077,1.9,4.5,02:05.0
407,4/18/2014 10:19,OTMANLAR-KOYCEGIZ (MUGLA) [North East 2.3 km]     İlksel,37.063,28.9303,2.1,5.4,02:05.0
408,4/18/2014 14:00,CAYHISAR-KOYCEGIZ (MUGLA) [ 1.41 km]              İlksel,36.9882,28.8678,2.1,17.8,02:05.0
